,office,district,candidate,party
0,ATTORNEY GENERAL,,WILLIAM C MARLAND,DEM
1,ATTORNEY GENERAL,,WILLIAM H RARDIN,REP
2,US HOUSE,1.0,ROBERT L RAMSAY,DEM
3,US HOUSE,1.0,FRANCIS J LOVE,REP
4,US HOUSE,2.0,HARLEY O STAGGERS,DEM
5,US HOUSE,2.0,MELVIN C SNYDER,REP
6,US HOUSE,3.0,CLEVELAND M BAILEY,DEM
7,US HOUSE,3.0,RUSH D HOLT,REP
8,US HOUSE,4.0,MG BURNIE BURNSIDE,DEM
9,US HOUSE,4.0,HUBERT S ELLIS,REP
10,US HOUSE,5.0,JOHN KEE,DEM
11,US HOUSE,5.0,ARNOLD G PORTERFIELD,REP
12,US HOUSE,6.0,DR EH HENDRICK,DEM
13,US HOUSE,6.0,LATELLE M LAFOLLETTE JR,REP
14,STATE SENATE,1.0,THOMAS M CAMPBELL,DEM
15,STATE SENATE,1.0,WILLIAM A HANNIG,REP
16,STATE SENATE,2.0,MRS JOE YOHO,DEM
17,STATE SENATE,2.0,JOHN E CARRIGAN,REP
18,STATE SENATE,3.0,DORR CASTO,DEM
19,STATE SENATE,3.0,ANDY SWEARINGEN,REP
20,STATE SENATE,4.0,FOSTER HEDGES,DEM
21,STATE SENATE,4.0,E RAY REED,REP
22,STATE SENATE,5.0,AR WINTERS,DEM
23,STATE SENATE,5.0,J SHELBY CHRISTIAN,REP
24,STATE SENATE,6.0,GLENN TAYLOR,DEM
25,STATE SENATE,6.0,ENOCH L FILLINGER,REP
26,STATE SENATE,7.0,LLOYD G JACKSON,DEM
27,STATE SENATE,8.0,CHARLES M LOVE,DEM
28,STATE SENATE,8.0,LF POFFENBARGER,REP
29,STATE SENATE,9.0,ROBERT C BYRD,DEM
30,STATE SENATE,9.0,AD COOKE,REP
31,STATE SENATE,10.0,J LYNN SWIGER,DEM
32,STATE SENATE,10.0,HAROLD B EAGLE,REP
33,STATE SENATE,11.0,JOHN H BOWLING,DEM
34,STATE SENATE,11.0,C LAIRD WALL,REP
35,STATE SENATE,12.0,HENRY J MCKINLEY,DEM
36,STATE SENATE,13.0,WALTER A HOLDEN,DEM
37,STATE SENATE,13.0,RUPERT A SINSEL,REP
38,STATE SENATE,14.0,DON J EDDY,DEM
39,STATE SENATE,14.0,DR CHARLES A HAISLIP,REP
40,STATE SENATE,15.0,I RAYMOND MURPHY,DEM
41,STATE SENATE,15.0,DAYTON R STEMPLE,REP
42,STATE SENATE,16.0,CLARENCE E MARTIN JR,DEM
43,STATE SENATE,16.0,HARVEY D BEELER SR,REP
44,CIRCUIT JUDGE,8.0,IRA J PARTLOW,DEM
45,CIRCUIT JUDGE,8.0,I MANN,
46,CIRCUIT JUDGE,11.0,NICKELL KRAMER,DEM
47,CIRCUIT JUDGE,11.0,GEORGE S SHARP,
48,STATE TREASURER,,WILLIAM H ANSEL JR,DEM
49,STATE TREASURER,,HAL F MORRIS,REP
50,JUDGE OF THE SUPREME COURT OF APPEALS,,LESLIE E GIVEN,DEM
51,JUDGE OF THE SUPREME COURT OF APPEALS,,CHARLES RITCHIE,REP
